Index,Title,Description,University,Course Cycle
91,Energy Control Centers,"Description and operation of energy control centers. Distributed and parallel operation of energy control centers. State estimation for transmission and distribution power systemsusing measurements from SCADA/RTUs and smart meters. Identification of errors in measurements, network topology, and network parameters. Applications of synchronized phasor measurement units (PMUs) in energy control centers and state estimation. Equivalent networks (Norton, Dimo). Security assessment and sensitivity analysis of power systems. Sparse matrix techniques. Applications of artificial intelligence techniques in power system analysis and control. Computer applications with sparse matrix algorithms.",NTUA,Sustainable Energy 
92,Renewable Energy Sources,"Introduction to RES: Current situation and prospects – Distributed Generation – Wind characteristics. Basic aerodynamics. Drivetrain. Stall and pitch control. Constant and variable speed operation. Power curve – Configuration of electrical part, generators, converters, control, wind farm internal networks – Interconnection to the grid: Connection to HV, MV and LV networks. Technical requirements. Analysis methodologies – Energy yield evaluation and application to autonomous island systems – Photovoltaics: Technology, equivalent circuits, control, power conversion equipment. PV stations – Solar thermal power stations: Operating principles and technology basics – Economic evaluation of RES investments – Energy storage and hybrid power stations – Small autonomous systems and microgrids.",NTUA,Renewable Sources
93,Reliability Analysis of Power Systems,"Introduction. Basic Markovian methodology, Basic calculation methods. Methodology of analysis of potential damages. Modeling the changes in weather conditions, Influence of preventive maintenance on the scales reliability indicators. Transient and transient lesions. Common cause damage. Modeling operating procedures for fault isolation. Criterion of Total Loss of Continuity. Criterion of Partial Loss of Continuity. Reliability of operation of a combined system of electricity generation and transmission. Analysis of the operational efficiency and reliability of the operation of electricity generation systems with renewable energy and pumping plants",NTUA,Power Systems
94,Power System Control and Stability,"Modelling of Steam Power Plants: Boilers, boiler controls, single and multi-stage steam turbines. Modeling of Hydro Power Plants: solid mass and surge conduit models, water hammer effect, electrical analogues. Modelling and control of synchronous generators. Governors. Load-frequency control: area control error, continuous and discrete control, tie-line and frequency control. Excitation Systems and Automatic Voltage Regulators (AVR). Stability of nonlinear systems. Small-signal and transient stability. Electromechanical Oscillations, damping and synchronizing torque, effect of AVR. Power System Stabilizers. Direct and indirect methods for Transient Stability. Energy functions. Equal Area Criterion. Critical angle and critical time determination. Direct and indirect stability methods. Laboratory exercises and Simulink applications.",NTUA,Power Electronics
95,Energy Management and Environmental Policy,"Introduction and importance of energy management. Basic principles, involved sectors and organizational consideration of energy management within an operational production and/or service provider unit. Methodology for an energy audit. Regulation and tools for the Energy Performance of Buildings. Use of energy audit equipment. Energy balance and Sankey diagrams. Energy Management Information Systems. Financial evaluation of energy investments. Case studies on energy audits (university buildings, hospital, hotel, etc.). Modern mechanisms for energy projects financing and role of Energy Service Companies (ESCOs). Climate change and greenhouse gas emissions. Kyoto Protocol and flexible mechanisms. Basic principles of environmental legislation. Environmental impact analysis. Models and techniques for analysis/evaluation of energy and environmental policies. Laboratory exercises for familiarizing students with the use of energy audit equipment and the implementation of an energy audit using an appropriate on-line energy management tool.",NTUA,Sustainable Energy 
119,Sensors and Microsystems Technology,"It introduces the Electrical, Electronic and Computer engineer to the fabrication of sensors and actuators employing magnetic, semiconducting, dielectric, superconducting and conducting materials and the design of the associated signal conditioning circuits. Laboratory exercises help the students to obtain hands on experience on the design and implementation of the main elements of a signal conditioning unit.",NTUA,Nanotechnology
96,Power System Protection,"Principles of power system protection from phase faults (three-phase and two-phase to earth) and ground faults (single-phase and two-phase to earth). Operational principles and main types of relays. Overcurrent, differential, distance, and directionalrelays. Protection of transformers and electric machines (generators and motors). Protection of buses, reactors, and capacitors. Adaptive protection of distribution networks with distributed generation. Principles of digital protective relays. Power system protection analysisusing software tools. Laboratory applications of digital protective relays.",NTUA,Power Electronics
97,"Control Systems Design
","Overview of continuous and discrete-time linear and continuous time linear systems. Automated control systems (ACS) behavior specifications. Classic ACS Controller Design Techniques (Geometric Root Place, Nyquist, Bode, Nichols). Design of two-term and three-term industrial controllers (PI, PID). Phase Prevention and Delay Controllers. Design of discrete time ACS. Status model overview. ACS design in the status area (eigenvalues ​​control, input-output decoupling, observers). Lyapunov stabilization controllers design. Implementation of compensators with computers and signal processors. The role of sampling rate and word length of computer and AD / DA converters in controller performance. Applications in electromechanical systems and industrial processes. Laboratory exercises. Matlab.",NTUA,Embedded and Control Systems
98,"Optimal Control and Applications
",Presentation and solution of the optimal control problem for finite dimensional linear and nonlinear systems. Equal emphasis is given both to the Pontryagin Maximum Principle and to Dynamic Programming. The connection to optimization methods in finite dimensional vector spaces is examined as well as the relationship to classical problems of the calculus of variations. Optimal control algorithms are described and examples are given from various application areas.,NTUA,Optimal & Nonlinear Control Applications
99,Digital Signal Processing,"Generalized digitization theory, improved sampling and quantization issues and compressed sensing. Discrete Fourier Transform Theory (DFT), Rectangular Transforms (DCT, SVD, etc.), Fast Algorithms (FFT). Spectral analysis of deterministic and random signals by DFT and parametric methods. Uniform signal processing (Cepstrum). Linear Forecast. Design of linear digital filters. Processing and modeling of statistical signals. Optimal linear filters (Wiener). Multi-rhythmic signal processing, time-frequency distributions and Discrete Wavelets Transformation. 
Indicative applications in audio signal processing (eg music and voice), biomedical signals, data compression, telecommunications, and multi-sensory networks. Laboratory exercises.",NTUA,Parallel Processing in Distributed Systems
100,Speech and Natural Language Processing,"Analysis and modeling of speech signals. Models of speech production. Speech coding algorithms. Introduction to speech recognition and hidden Markov models. Feature extraction algorithms for speech processing applications. Statistical text-to-speech synthesis. Speech processing applications: speech recognition, speech synthesis, spoken dialogue systems and the VoiceXML language. Core concepts of computational linguistics. Natural language processing tools: regular expressions, finite state machines, n-gram language models, context-free grammars, decision trees, probabilistic models of syntactic and semantic parsing, first-order predicate calculus, discourse modeling and statistical machine translation.",NTUA,Parallel Processing in Distributed Systems
101,Advanced Methods for Control Systems,"Overview of linear and continuous time linear systems. State Equations, Auditability and Observability, various criteria. Normal Forms and Normal Structure (Kalman) systems. State monitors. Separation. Advanced linear controller design techniques. Nonlinear continuous and discrete time systems. Nonlinear controller design techniques. Optimal Control. Principle of Pontryagin. Numerical Methods for TPBV Problems. Dynamic Programming (Bellman). OpenLoop, ClosedLoop Concepts. Applications to Linear-Square (LQ) control problems (Riccati equations), Minimum Time Control and Minimum Energy problems. Singular Problems. Methods Lyapunov. Strong Control Elements. Game Theory: Nash and Stackelberg Concepts for Static and Dynamic Games. Implementation of controllers with computers. Laboratory exercises.",NTUA,Embedded and Control Systems
102,"Robotics I: Analysis - Control - Laboratory
","Introduction to Robotics: Technological aspects, types of robots, application areas. Kinematic analysis of robot manipulators, forward and inverse geometric modeling, differential kinematics, Jacobian matrix, singular configurations, kinematic redundancies.Static analysis of robot manipulators, stiffness and compliance matrix. Dynamic analysis of robot manipulators, Newton-Euler and Lagrange models, dynamic parameter identification. Trajectory planning and control of robots. Linear local joint PID control, nonlinear computed-torque control, force/impedance control and hybrid control of robots. Introduction to adaptive and robust control of robots. Robot programming. Laboratory training: continuous and discrete control of a robot joint, linear and nonlinear control of an articulated inverted pendulum, programming of a robotic cell, programming and control of robotic manipulators (serial linkage 6 DOF manipulator and a SCARA-type robot).",NTUA,Microprocessors
103,"Computer Vision
","An introduction to computational vision theory, summarizing biological vision, developing mathematical models and computational algorithms to solve them, and description of their selected applications. Optical sensors and image formation. Colour. Spatial-temporal optical signal processing: Multidimensional linear filters and Fourier / Gabor analysis. Morphological operators and non-linear filters. Multiple-scale image analysis with linear (Gaussian scale-space) and non-linear (geometric diffusion) methods. Detection of edges and other geometric features. Shape and Texture Analysis. Optical motion estimation. Multi-faceted stereoscopy and geometry. Dynamic curve / surface evolution, active contours and planes. Image segmentation. 3D Reconstruction. Optical object recognition. Applications in biomedicine, robotics, digital arts and internet.
 ",NTUA,Computer Interaction and Vision Theory
104,"Nonlinear Control systems and Applications

","Non-linear systems. Examples of non-linear phenomena: multiple equilibrium points, boundary circles, divisions. Exhibitors Lyapunov. Theories: Index, Poincare, Poincare-Bendixson, Liouville. Recurrence. Describing functions. Stability. Lyapunov, LaSalle, Chetaev theorems. Popov and Circle criteria. Kalman-Yakubovich, Passivity. Feedback linearization. Liebrackets. Frobenius theorem. Adaptive control: Reference and self-tuning models. Design and study of non-linear controllers: Stabilization via Linearization, Integral Control, Backstepping, Lyapunov Redesign, Gain Scheduling. Introduction to Chaos Theory.",NTUA,Optimal & Nonlinear Control Applications
105,"Multidimensional Systems
","State space representation of a system given by its transfer function. Transfer function representation of a system given by its statespace equations. Response of multidimensional systems. Observability, controllability and minimality of 2-Dimentional systems. Stability of 2-D discrete and continuous systems. Multivariable polynomial reducibility and factorizability.",NTUA,Operating Systems
120,Advanced-Technology Materials and Devices,"The course deals with all major III-V based electronic and optical devices which are mainly employed in high frequency telecommunications circuits. In particular it analyses the operation of:

MESFETs,
HEMTs,
LED, and
LASERs.
An introduction into the relevant solid-state physical principles is also given.",NTUA,Semiconductors
106,"Robotics II: Intelligent Robotic Systems
","Dexterous robot manipulation, kinematic control of redundant manipulators, manipulability and dexterity measures. Interaction control of robot manipulators, force control, impedance control, hybrid control.Visual servoing of robot manipulators. Dexterous multifingered robot hands, kinetostatic analysis and control of robot grasping. Intelligent autonomous mobile robotics: elements of mechatronic design (locomotion, sensors), kinematic modeling, control architectures, environment mapping and representation, perception and localization, sensor fusion, path planning, robot learning. Applications of integrated robotic systems, mobile robotic manipulators, collaborative robotics, shared human-robot control and telerobotics.",NTUA,Robotics
107,Optimization Techniques and Control Applications,"Introduction, optimization problem and ways to solve it. Necessary 1st and 2nd order conditions, minimum conditions for minimization problems: unrestricted, with isotonic and inequal constraints. General form of optimization algorithms, convergence theorem, convergence speed. Methods for minimizing functions of a variable. Algorithms for problems without constraints: tilting methods, Newton, conjugate directions, pseudo-Newtonian methods. Algorithms for constrained problems: methods of penalty and barrier functions, methods of permissible directions, active set, slope projection. Square programming. Repeatable square method. Optimization of computer control systems.",NTUA,Optimal & Nonlinear Control Applications
108,Neuro-Fuzzy Control and Applications,"Basic neural network (ND) concepts and architectures. Neural learning. Truncation SW (Perceptron, multilayer reverse propagation SW, radial basis function SW). Feedback SW (Hopfield, Boltzmann). Self-organizing SW (Kohonen, neural model of information theory). Vague logic and reasoning. Fuzzy architectural and neural control. Reinforcement learning approach. Vigorous and adaptive intelligent (fuzzy and neuronal) control. Applications in robotic and power systems.",NTUA,Optimal & Nonlinear Control Applications
109,Pattern Recognition,"Introduction to statistical pattern recognition with applications in the recognition of sounds, visual objects, audiovisual events and other spatio-temporal sensory or symbolic data. Bayesian decision theory and estimation. Nearest neighbor decision rules and methodologies to reduce the number of learning patterns. Clustering techniques such as k-means, and unsupervised learning techniques. Decision trees. Transformations and selection of features in the field of standards such as PCA, Discrete Analysis (LDA), or Independent Component Analysis (ICA). Template sorting techniques with Perceptron linear support machines and Support Vector Machines. 
Gaussian mixture models (GMMs), hidden Markovian models (HMMs), and Expectation-Maximization algorithm. Dynamic Bayesiannets. Probably graphic models. Laboratory exercises.",NTUA,Pattern Recognition
110,Stochastic Control,"Review of Deterministic Optimal Control. Stochastic Optimal Control for Discrete Time Systems with Full and Partial State Measurements. Dynamic Programming. LQG Problem. State Estimation. Kalman Filter. Separation, Certainty Equivalence. Infinite Time Problems. Optimal Stopping. Self Tuning and Suboptimal Control. Optimal Stochastic Control of Continuous Time Systems. Applications. Laboratory.",NTUA,Embedded and Control Systems
111,Semiconductor Devices,"The course deals with all major Si-based semiconductors devices. It also includes an introduction into Si-based nano-devices. In particular it deals with the DC and AC operation of:

pn diodes,
Schottky diodes,
Bipolar transistors,
MOS capacitances, and
MOSFETs.
In the last two cases of MOS structures it analyses the inclusion of nanoparticles in these structures.",NTUA,Semiconductors
112,Electronics II,"Course objectives: To give the student a firm grounding in the analysis and design of MOS and bipolar analog amplifier circuits. Topics covered: MOSFET: NMOS and PMOS transistors; Load-line analysis of a simple NMOS amplifier; Bias circuits; Small-signal equivalent circuits; Common-source amplifiers; Source followers Single-stage amplifier configurations with emphasis on MOS, other technologies (e.g. BJT) for comparison. Differential and multi-stage amplifiers, cascode, Darlington connections, complementary symmetry output stages. Large signal analysis. Introduction to power amplifier classes.",NTUA,Power Electronics
113,Introduction to VLSI System Design,"Introduction to CMOS, VLSI circuits (inverter, switch, NAND gates, NOR and composite, multiplexers, registers). Introduction to the representation of circuits and systems. Hardware Description Languages ​​(HDL). I.C. Technologies and CMOS, VLSI circuit manufacturing processes. Assessment of parameters and performance (resistance, capacity, delay, power). CMOS, VLSI logic logic design. CMOS, VLSI Circuit Design and Test Methods. Design of subsystems in CMOS, VLSI technology (adders, multipliers, sliders, memories, algorithmic state machines). Laboratory exercises: The lab designs and studies digital CMOS, VLSI technology circuits from simple gates to integrated subsystems. 
Laboratory exercises will include layout construction, electrical simulation, logical simulation, timing analysis and use of material description languages.",NTUA,VLSI
114,Electronics III,"Application of feedback to amplifiers - stability. Amplifier frequency compensation. Design of effective bipolar amplifiers and CMOS technology. Power amplifiers. Design active filters. Non-linear circuits: vibrators, oscillators and waveform generators.",NTUA,Power Electronics
115,"Microelectronics: Fabrication of Integrated Circuits
","It introduces the Electronic and Computer engineer to the world of silicon technology starting from the fabrication of single crystal Si wafers and ending with the fabrication steps of both BJTs and MOSFETs. Quantitative analysis of the fabrication techniques used (i.e. Si oxidation, thermal diffusion of impurities, ion implantation, thin film deposition using CVD and PVD, lithography and etching ) is given together with an introduction to the SUPREM which is used by the students to simulate the fabrication process of an integrated component like BJT, MOSFET, resistors, capacitors.",NTUA,Microelectronics
116,Linear Circuit Design,"Computer aided circuit analysis: sparse matrix methods, computer aided sensitivity evaluation, noise calculations. Frequency specifications for filters and equalizers. Least squares and Chebyshev error functions. Computer aided circuit design by using optimization methods. Applications: design of filters, gain equalizers and phase equalizers. The method of coefficient matching for circuit design. Circuit element tolerances and their effect on circuit performance. Manufacturing yield maximization.",NTUA,Embedded and Control Systems
117,Design of Analog Electronic systems,"Design, Manufacture, and Study of Operational Amplifiers: OA Behavior in Open-Loop Circuits, Comparators, and Pulse Width Modulators. OA in positive feedback junctions and Schmidt Trigger devices. Inverting and non-inverting amplifiers, inverters and inverters, integrators, separators. Characteristics and performance of real (non-ideal) OAs in DC connections. Noise in OA. 
Performance of actual OAs in AC connections, bandwidth and actual OA slew rate. Instrumentation amplifiers. Linear integrated circuits.",NTUA,Embedded and Control Systems
147,Cloud Tech 1: Introduction to Cloud & Virtualization,"Students learn the basics of cloud computing, virtual machines, and containerization with a focus on resource-efficient deployment.",NTUA,Green Cloud Technologies & DevOps
121,Microsystems and Nanotechnology,"Microsystems and nanosystems: Definitions and examples. Relationship between microelectronic, micro-optical and micro-electro-mechanical technology.
Basic microelectronic technology processes and modeling: Thermal oxidation, dopant diffusion, ion implantation, physical and chemical deposition, e-beam and optical lithography, plasma etching. Advanced processes for nanoelectronics.
Special processes for micromechanics and microsensor fabrication. Surface, bulk micromachining. Physical principles of sensors operation. Examples on fabrication and operation of physical and biochemical microsensors. Lab-on-Chip and biosensors.
From microtechnology to nanotechnology: Methods of fabrication at the nanoscale. Top-down and bottom-up approaches. Fabrication of nanoparticles and nanowires, their interaction with the macro-world and application to sensing. Nanometrology.",NTUA,Nanotechnology
122,Electronic Packaging Techniques,"It introduces the Electronic and Computer engineer to the principles of electronic packaging that are used today in a wide spectrum of applications. The use of the PCB, Thick film and thin film technologies in the field of Multi-Chip Modules fabrication is explained during this course. The main interconnection problems a designer is faced today in high bit rate systems (i.e. crosstalk, ringing, etc) are discussed and the students have the opportunity to study them in the Laboratory.",NTUA,Predictive Analytics
123,Telecommunication Electronics,"The objective of this course is the design of electronic circuits, which are used in telecommunication systems. Specifically, the following issues are discussed: Electrical noise theory and layout design to minimize noise. High-frequency amplifier design (maximum gain design, minimum noise design, stability issues). Design of nonlinear elements, multipliers, mixers and power amplifiers. Nonlinear analysis theory, harmonic balance technique, Voltera series. Oscillator and modulator/demodulator design, phase locked loops (PLL). Digital transmitter/receiver design. This course also includes the design of electronic telecommunication circuits using appropriate CAD tools.",NTUA,Simulations in Telecommunication Systems
124,"Physics, Technology and Applications of Photovoltaics
","Studying the interdependence between the structure and technical properties of semiconductors and describing and exploring the design and industrial methods of manufacturing semiconductor devices, such as light transmitting diodes, integrated circuits, solar photovoltaic generators, etc .. Laboratory and Computational Issues: Microscopic observation and calculation of integrated circuit elements, design of a light-emitting diode, preliminary design of an autonomous photovoltaic system for electricity eg. of an isolated settlement. Experimental determination of the electrical parameters of various types of photovoltaic devices by means of I-V characteristics",NTUA,Photovoltaics Applications
125,Electric Machines I,"General principles of analysis of transformers and electrical machines. Ferromagnetic materials. Configuration of single phase and three phase power transformers, autotransformers, saturation and harmonic phenomena, winding connections and parallel operation. High frequency transformers. Polyphase transformers. Distributed electrical machine windings, electromotive force and torque development, magnetomotive forces, harmonics. Configuration of three-phase induction motors, starting, double cage rotors and deep bar rotors. Classification of induction motors. Wound rotors and doubly-feed asynchronous machines, variable speed operation. Capacitor single phase induction motors, shaded-pole induction motors. Introduction to transient and dynamic phenomena in transformers and induction motors.",NTUA,Electric Machines
126,Power Electronics I,"Scope and applications of Power Electronics technology. Power electronics circuits. Single-phase and three-phase diode rectifiers. Single-phase and three-phase thyristor rectifiers. Voltage Source Inverters (VSIs). Output voltage control techniques using Pulse Width Modulation (PWM) and Sinusoidal Pulse Width Modulation (SPWM). Characteristics and dynamic behavior of power semiconductor devices (Diode, Thyristor, Bipolar Junction Transistor (BJT), MOSFET, GTO and IGBT). Power quality of power electronics converters. Simulation of power electronics topologies using the software programs MATLAB/SIMULINK and SPICE. This course includes six laboratory exercises.",NTUA,Power Electronics
127,Lighting Technology,"THEORY

Visible radiation and light. Black body radiation. Spectral luminous efficiency of photopic and scotopic vision. Mesopic vision. Basic principles and quantities of photometry. Colorimetry. Spectrum of visual light, basic colours, chromatic systems, tristimulus values. Luminous intensity, luminous flux, illuminance and luminance. Units of Photometry. Light sources. Luminous efficacy of light sources. Basic laws of photometry. Reflection, absorption and transmission. Luminaires. Distribution of luminous inensity (polar diagrams). Zonal distribution of luminous flux (light output ratio diagrams). Calculation of luminous flux codes (CIE, DIN, CEN, UTE). Illuminance distribution (isolux diagrams). Horizontal and vertical illuminance. Glare. Luminance diagrams (Schoelner, CIE, DIN). Unified Glare Rating. Utilization factor. Maintenance factor. Visual ability. Lighting calculation methods. Computer models. International standards on quality assurance of lighting fixtures. Utilization of daylight. Lighting controls (sensors, dimmers, BMS). Energy saving in lighting installations.

LABORATORY PRACTICE

Measurement of photometric quantities. Measuring instruments and apparatuses. Measurement of illuminance, luminous intensity, luminance and luminous flux. Measurement of photometric characteristics of luminaires (interior & exterior) and calculation of polar intensity distribution, luminance diagram, UGR table, utilization factor table, zonal flux distribution, flux code. Photometric reports. Measurement of light signals (traffic control, navigation). Spectrophotometry. Measurement of colour of light sources and of materials. Measurement of reflectance. EMC measurements (insertion loss) on fluorescent lamps. Lighting calculations with RELUX and DIALUX.",NTUA,Multimedia Structures
128,Electric Machines II,"Configuration and operating principles of Direct Current (DC) machines, winding connections and steady state operating characteristics, saturation and armature reaction. Principles of transient and dynamic phenomena of electrical machines, application to DC machines, DC motor starting, state-space block diagram representation. Configuration and operating principles of synchronous machines, steady state operating characteristics of turbogenerators and salient pole synchronous machines, analysis of saturation and Potier triangle. Synchronous machines connection procedure to the network. Excitation systems and reactive power control. Introduction to transient and dynamic phenomena of synchronous machines, damper windings, analysis in direct and quadrature axes. Subtransient and transient reduced equivalent circuits of synchronous machines.",NTUA,Electric Machines
139,Protection of Electrical Installations Against Overvoltages,"Introduction. Mechanisms and consequences of overvoltages. Atmospherical (external) and switching (internal) overvoltages. Lightning. Lightning strikes on buildings, technical installations, transmission and distribution electric networks. Static electricity: formation, dangers and protection. Hazards arising from a lightning strike. Protection of human beings, buildings, technical installations, transmission and distribution electric networks against lightning and overvoltages in general. Effects of the electric field and current on human beings. Electrocution: mechanism and protection.",NTUA,Electrical Installations
129,Electrical Insulating Materials,"Gas Insulation Systems (GIS). Power switches and GIS gas insulation systems, arc extinguishing methods, SF6 sulfur hexafluoride gas insulated power switches, active or neutral tank, GIS substation mounting insulators, the effect of pollution on the heated flue chambers. Vacuum technology. Vacuum categories, introduction to ultra high vacuum technology, low pressure measurement methods, pumping types, construction materials, basic applications, medium voltage vacuum switches. The use of the quadrupole mass filter in the quality control of gaseous insulation materials, application: pure SF6. High voltage solid insulating materials. Electric porcelain. Insulating glass. 'Resin-bound glass fiber (RBGF). Polymers. (Applications, clothing - blending). Terminals and implants in solid insulators. Electron transfer phenomena, field emission, field ionization, avalanche effect, radiation induced conduction, heat induced currents, negative differential conductivity, interfaces, systems with one or two carrier types. Laboratory exercises.",NTUA,Electrical Installations
130,Power Electronics II,"Dc-dc converters (Buck, Boost and Buck-Boost topologies). Boost rectifiers. Regenerative Switch-Mode Rectifiers (SMRs). Drive circuits for thyristors, GTOs, IGBTs, BJTs and MOSFETs. Resonant dc-dc converters. Passive and active filtering. Multilevel power electronics topologies. Static VAr compensators (STATCOM). P-Q and Space Vector PWM control techniques. Application of power electronics to renewable energy sources. This course includes six laboratory exercises.",NTUA,Power Electronics
131,High Voltage Generation,"Introduction. Calculation of the electric field produced by high voltage configurations. Simulation algorithms of high voltage electromagnetic fields with concentrated elements. Partial discharges and breakdown in atmospheric air, solid, liquid and other gaseous insulating materials. Travelling waves. Arrangements for the generation of voltages and currents for test purposes: test transformers, rectifiers, arrangements for the generation of high direct and impulse voltages, damped oscillations and impulse currents. Constructional and operational characteristics, equivalent circuits. Discharges in insulators, generation of voltages and currents for test purposes in the Laboratory test field.",NTUA,Electric Systems
132,Electromechanical Installations in Industry and Buildings,"General, materials, regulations. Interior electrical installations. Lighting. Grounding, Switchboards, Cables, Relays, Switches, Remote Switching Circuits. Elevators. Power Supply Systems. M.V. Substations. Basic characteristics of insulating materials during pre-breakdown and breakdown stages. Electrical Equipment reliability testing. Measurements in Industry. Power Factor Correction. Ventilation. Heating and Air-conditioning Installations.",NTUA,Electrical Installations
133,Electromagnetic Propulsion and Levitation,Linear motors. Linear induction motors. Modern linear motors. Electromagnetic suspension systems. Magnetohydrodynamic motors. Electromagnetic trains with a monorail. Electromagnetic trains with magnetic suspension (maglev). Other applications. Laboratory exercises.,NTUA,Electromagnetics Theory
134,Transient Performance of Electric Machines,"Introduction - reminder of the general principles, configuration and basic operating characteristics of electrical machines under steady state. Presentation of the basic ""transformation"" relations by Clarke and Park (abc-αβ0 and αβ0-dq0) and the possibility of generalized representation of the various types of electric machines by using the ""primitive"" machine model. Application-validation of the transformations in the laboratory. Application of the generalized theory to the main machine types (direct current, synchronous, asynchronous, single-phase machines) and analysis of the basic transient phenomena (starting, short-circuits, load change, state-space block diagram representation and electrical machine drive systems). Application in laboratory and computer simulation. Introduction to the analysis of electrical machines by using space vectors.

",NTUA,Electric Machines
135,High Voltage Measurements and Applications,"Measurement techniques in high voltage engineering (measurement of high voltages, high currents, power, energy, partial discharges). Dielectric measurements. Optimization of high voltage measurement systems. Errors during high voltage measurements. Mitigation of electromagnetic disturbances. Calibration of measuring equipment. Dielectric behaviour and puncture of insulators. Insulator behaviour under pollution. Laboratory methodologies for quality control of electrical and electronic equipment. Cables, switchboards, surge arresters, insulators, electronic devices etc. Electromagnetic compatibility. Influence of high voltage lines on telecommunication systems. Measurement of test voltages and currents, quality control of materials and equipment in the Laboratory.",NTUA,Electric Systems
136,Control of Electric Drives,"
Design and operation principles of electric motor systems. Mathematical models and simulation of AC and DC systems. Control of DC and AC systems. Stability of electric motor systems. Performance control and quality control of electrical machine systems. Techniques for controlling electrical motor systems. DC and AC electrical control systems in open loop and closed loop. Field-oriented control of the asynchronous motor system. Power Recovery System Check. Digital electric motor control systems. Digital controllers. Control algorithms. Control with microcomputers and microcontrollers. Programmable logic PLC controllers in electric drive systems. Industrial applications of electric motor controlled systems: acceleration, speed, position, power, etc. control systems. Laboratory exercises.",NTUA,Control Engineering
137,Design and Construction of Electric Machines,"Numerical analysis and study of low frequency electromagnetic fields by using computer software. Application to the calculation of the performance and equivalent circuit parameters of electrical machines and transformers. Windings of alternating and direct current electrical machines. Evaluation of harmonic voltages and magnetomotive forces and their impact on the operation of electrical machines. Analytical calculation of magnetic circuits, saturation consideration, Carter coefficient, analysis of leakage flux. Determination of iron loss (eddy current and hysteresis) and copper loss (resistive and eddy current). Calculations of forces and torque. Thermal analysis, heating and cooling of electrical machines and transformers. Preliminary and critical design of electrical machines and transformers.",NTUA,Electric Machines
138,Quality Control of Industrial Installations' Equipment and Materials,"Measurements during the manufacturing process of industrial products (pressure, temperature, pollution, combustion, etc.). Measurements and maintenance in industrial installations (resistance, insulation, capacity, loss factor). Examples are 150 kV and 400 kV transformers. Determination of the lifetime of an installation's electrical equipment (voltage, voltage, distribution, transmission, switches, etc.) transformers. Aging phenomena in general.",NTUA,Semiconductors
140,Special Electric Motors,"
Principles of operation of special motors: step motors, universal motors, servomotors, linear motors, brushless motors, electrostatic motors, ceramic motors, ultrasonic motors, laminated magnet motors. Special engine control systems techniques: vector control, digital control, high speed control. Special engine control systems: servomotor control systems, stepping motor control systems, microcomputer servers. System applications",NTUA,Electromagnetics Theory
150,AI 2: Ethical AI & Sustainable Automation,"Students explore responsible AI development, bias mitigation, and the energy costs of training large models, with alternatives for sustainability.",NTUA,Ethical AI & Sustainable Automation
